bits,N,y,q,r,N_digits,y_digits,q_digits,r_digits,q_norm,q_bin,exact,correct_digits,valid_digits
6,35,1141,32,21,2,4,2,2,0.94117647,Q75_100,0,1,2
6,35,449,12,29,2,3,2,2,0.35294118,Q25_50,0,1,2
6,35,35,1,0,2,2,1,1,0.02941176,Q0_25,0,0,1
6,35,415,11,30,2,3,2,2,0.32352941,Q25_50,0,0,2
6,35,45,1,10,2,2,1,2,0.02941176,Q0_25,0,0,2
6,35,64,1,29,2,2,1,2,0.02941176,Q0_25,0,1,2
6,35,63,1,28,2,2,1,2,0.02941176,Q0_25,0,1,2
6,35,680,19,15,2,3,2,2,0.55882353,Q50_75,0,0,2
6,35,985,28,5,2,3,2,1,0.82352941,Q75_100,0,0,1
6,35,901,25,26,2,3,2,2,0.73529412,Q50_75,0,1,2
6,35,239,6,29,2,3,1,2,0.17647059,Q0_25,0,1,2
6,35,779,22,9,2,3,2,1,0.64705882,Q50_75,0,0,1
6,35,516,14,26,2,3,2,2,0.41176471,Q25_50,0,1,2
6,35,1039,29,24,2,4,2,2,0.85294118,Q75_100,1,2,2
6,35,202,5,27,2,3,1,2,0.14705882,Q0_25,0,1,2
6,35,233,6,23,2,3,1,2,0.17647059,Q0_25,0,1,2
6,35,3,0,3,2,1,1,1,0.0,Q0_25,0,0,1
6,35,942,26,32,2,3,2,2,0.76470588,Q75_100,0,1,2
6,35,974,27,29,2,3,2,2,0.79411765,Q75_100,0,1,2
6,35,25,0,25,2,2,1,2,0.0,Q0_25,0,1,2
6,35,771,22,1,2,3,2,1,0.64705882,Q50_75,0,0,1
6,35,566,16,6,2,3,2,1,0.47058824,Q25_50,0,0,1
6,35,413,11,28,2,3,2,2,0.32352941,Q25_50,0,1,2
6,35,164,4,24,2,3,1,2,0.11764706,Q0_25,1,2,2
6,35,173,4,33,2,3,1,2,0.11764706,Q0_25,0,0,2
6,35,205,5,30,2,3,1,2,0.14705882,Q0_25,0,0,2
6,35,924,26,14,2,3,2,2,0.76470588,Q75_100,0,0,2
6,35,884,25,9,2,3,2,1,0.73529412,Q50_75,0,0,1
6,35,889,25,14,2,3,2,2,0.73529412,Q50_75,0,0,2
6,35,158,4,18,2,3,1,2,0.11764706,Q0_25,0,0,2
6,35,629,17,34,2,3,2,2,0.5,Q50_75,0,0,2
6,35,786,22,16,2,3,2,2,0.64705882,Q50_75,0,0,2
6,35,472,13,17,2,3,2,2,0.38235294,Q25_50,0,0,2
6,35,364,10,14,2,3,2,2,0.29411765,Q25_50,0,0,2
6,35,77,2,7,2,2,1,1,0.05882353,Q0_25,0,0,1
6,35,490,14,0,2,3,2,1,0.41176471,Q25_50,0,0,1
6,35,69,1,34,2,2,1,2,0.02941176,Q0_25,0,0,2
6,35,42,1,7,2,2,1,1,0.02941176,Q0_25,0,0,1
6,35,130,3,25,2,3,1,2,0.08823529,Q0_25,0,1,2
6,35,387,11,2,2,3,2,1,0.32352941,Q25_50,1,1,1
6,35,514,14,24,2,3,2,2,0.41176471,Q25_50,1,2,2
6,35,103,2,33,2,3,1,2,0.05882353,Q0_25,0,0,2
6,35,539,15,14,2,3,2,2,0.44117647,Q25_50,0,0,2
6,35,196,5,21,2,3,1,2,0.14705882,Q0_25,0,1,2
6,35,215,6,5,2,3,1,1,0.17647059,Q0_25,0,0,1
6,35,760,21,25,2,3,2,2,0.61764706,Q50_75,0,1,2
6,35,690,19,25,2,3,2,2,0.55882353,Q50_75,0,1,2
6,35,288,8,8,2,3,1,1,0.23529412,Q0_25,0,0,1
6,35,585,16,25,2,3,2,2,0.47058824,Q25_50,0,1,2
6,35,419,11,34,2,3,2,2,0.32352941,Q25_50,0,0,2
6,35,582,16,22,2,3,2,2,0.47058824,Q25_50,1,2,2
6,35,499,14,9,2,3,2,1,0.41176471,Q25_50,0,0,1
6,35,500,14,10,2,3,2,2,0.41176471,Q25_50,0,0,2
6,35,443,12,23,2,3,2,2,0.35294118,Q25_50,0,1,2
6,35,231,6,21,2,3,1,2,0.17647059,Q0_25,0,1,2
6,35,1006,28,26,2,4,2,2,0.82352941,Q75_100,0,1,2
6,35,619,17,24,2,3,2,2,0.5,Q50_75,0,1,2
6,35,614,17,19,2,3,2,2,0.5,Q50_75,0,0,2
6,35,829,23,24,2,3,2,2,0.67647059,Q50_75,0,1,2
6,35,1168,33,13,2,4,2,2,0.97058824,Q75_100,0,0,2
6,35,337,9,22,2,3,1,2,0.26470588,Q25_50,1,2,2
6,35,643,18,13,2,3,2,2,0.52941176,Q50_75,0,0,2
6,35,1057,30,7,2,4,2,1,0.88235294,Q75_100,0,0,1
6,35,791,22,21,2,3,2,2,0.64705882,Q50_75,0,1,2
6,35,271,7,26,2,3,1,2,0.20588235,Q0_25,0,1,2
6,35,709,20,9,2,3,2,1,0.58823529,Q50_75,0,0,1
6,35,892,25,17,2,3,2,2,0.73529412,Q50_75,0,0,2
6,35,212,6,2,2,3,1,1,0.17647059,Q0_25,1,1,1
6,35,320,9,5,2,3,1,1,0.26470588,Q25_50,0,0,1
6,35,475,13,20,2,3,2,2,0.38235294,Q25_50,0,1,2
6,35,764,21,29,2,3,2,2,0.61764706,Q50_75,0,1,2
6,35,744,21,9,2,3,2,1,0.61764706,Q50_75,0,0,1
6,35,82,2,12,2,2,1,2,0.05882353,Q0_25,0,1,2
6,35,425,12,5,2,3,2,1,0.35294118,Q25_50,0,0,1
6,35,286,8,6,2,3,1,1,0.23529412,Q0_25,0,0,1
6,35,366,10,16,2,3,2,2,0.29411765,Q25_50,0,0,2
6,35,1075,30,25,2,4,2,2,0.88235294,Q75_100,0,1,2
6,35,428,12,8,2,3,2,1,0.35294118,Q25_50,0,0,1
6,35,526,15,1,2,3,2,1,0.44117647,Q25_50,0,0,1
6,35,1000,28,20,2,4,2,2,0.82352941,Q75_100,0,1,2
6,35,125,3,20,2,3,1,2,0.08823529,Q0_25,0,1,2
6,35,751,21,16,2,3,2,2,0.61764706,Q50_75,0,0,2
6,35,1153,32,33,2,4,2,2,0.94117647,Q75_100,0,0,2
6,35,1186,33,31,2,4,2,2,0.97058824,Q75_100,0,0,2
6,35,33,0,33,2,2,1,2,0.0,Q0_25,0,0,2
6,35,797,22,27,2,3,2,2,0.64705882,Q50_75,0,1,2
6,35,316,9,1,2,3,1,1,0.26470588,Q25_50,0,0,1
6,35,1211,34,21,2,4,2,2,1.0,Q75_100,1,2,2
6,35,448,12,28,2,3,2,2,0.35294118,Q25_50,0,1,2
6,35,1003,28,23,2,4,2,2,0.82352941,Q75_100,0,1,2
6,35,363,10,13,2,3,2,2,0.29411765,Q25_50,0,0,2
6,35,5,0,5,2,1,1,1,0.0,Q0_25,0,0,1
6,35,965,27,20,2,3,2,2,0.79411765,Q75_100,0,1,2
6,35,1115,31,30,2,4,2,2,0.91176471,Q75_100,0,0,2
6,35,93,2,23,2,2,1,2,0.05882353,Q0_25,0,1,2
6,35,602,17,7,2,3,2,1,0.5,Q50_75,0,0,1
6,35,902,25,27,2,3,2,2,0.73529412,Q50_75,0,1,2
6,35,563,16,3,2,3,2,1,0.47058824,Q25_50,0,0,1
6,35,870,24,30,2,3,2,2,0.70588235,Q50_75,0,0,2
6,35,401,11,16,2,3,2,2,0.32352941,Q25_50,0,0,2
6,35,317,9,2,2,3,1,1,0.26470588,Q25_50,1,1,1
6,35,1045,29,30,2,4,2,2,0.85294118,Q75_100,0,0,2
6,35,1182,33,27,2,4,2,2,0.97058824,Q75_100,0,1,2
6,35,296,8,16,2,3,1,2,0.23529412,Q0_25,0,0,2
6,35,264,7,19,2,3,1,2,0.20588235,Q0_25,0,0,2
6,35,27,0,27,2,2,1,2,0.0,Q0_25,0,1,2
6,35,876,25,1,2,3,2,1,0.73529412,Q50_75,0,0,1
6,35,687,19,22,2,3,2,2,0.55882353,Q50_75,1,2,2
6,35,409,11,24,2,3,2,2,0.32352941,Q25_50,0,1,2
6,35,180,5,5,2,3,1,1,0.14705882,Q0_25,0,0,1
6,35,78,2,8,2,2,1,1,0.05882353,Q0_25,0,0,1
6,35,598,17,3,2,3,2,1,0.5,Q50_75,0,0,1
6,35,482,13,27,2,3,2,2,0.38235294,Q25_50,0,1,2
6,35,713,20,13,2,3,2,2,0.58823529,Q50_75,0,0,2
6,35,1144,32,24,2,4,2,2,0.94117647,Q75_100,1,2,2
6,35,81,2,11,2,2,1,2,0.05882353,Q0_25,0,0,2
6,35,1108,31,23,2,4,2,2,0.91176471,Q75_100,0,1,2
6,35,748,21,13,2,3,2,2,0.61764706,Q50_75,0,0,2
6,35,1063,30,13,2,4,2,2,0.88235294,Q75_100,0,0,2
6,35,223,6,13,2,3,1,2,0.17647059,Q0_25,0,0,2
6,35,1038,29,23,2,4,2,2,0.85294118,Q75_100,0,1,2
6,35,112,3,7,2,3,1,1,0.08823529,Q0_25,0,0,1
6,35,106,3,1,2,3,1,1,0.08823529,Q0_25,0,0,1
6,35,492,14,2,2,3,2,1,0.41176471,Q25_50,1,1,1
6,35,465,13,10,2,3,2,2,0.38235294,Q25_50,0,0,2
6,35,938,26,28,2,3,2,2,0.76470588,Q75_100,0,1,2
6,35,120,3,15,2,3,1,2,0.08823529,Q0_25,0,0,2
6,35,466,13,11,2,3,2,2,0.38235294,Q25_50,0,0,2
6,35,160,4,20,2,3,1,2,0.11764706,Q0_25,0,1,2
6,35,1047,29,32,2,4,2,2,0.85294118,Q75_100,0,0,2
6,35,935,26,25,2,3,2,2,0.76470588,Q75_100,0,1,2
6,35,1117,31,32,2,4,2,2,0.91176471,Q75_100,0,0,2
6,35,1067,30,17,2,4,2,2,0.88235294,Q75_100,0,0,2
6,35,62,1,27,2,2,1,2,0.02941176,Q0_25,0,1,2
6,35,138,3,33,2,3,1,2,0.08823529,Q0_25,0,0,2
6,35,407,11,22,2,3,2,2,0.32352941,Q25_50,1,2,2
6,35,21,0,21,2,2,1,2,0.0,Q0_25,0,1,2
6,35,822,23,17,2,3,2,2,0.67647059,Q50_75,0,0,2
6,35,405,11,20,2,3,2,2,0.32352941,Q25_50,0,1,2
6,35,860,24,20,2,3,2,2,0.70588235,Q50_75,0,1,2
6,35,968,27,23,2,3,2,2,0.79411765,Q75_100,0,1,2
6,35,1010,28,30,2,4,2,2,0.82352941,Q75_100,0,0,2
6,35,1052,30,2,2,4,2,1,0.88235294,Q75_100,0,0,1
6,35,757,21,22,2,3,2,2,0.61764706,Q50_75,1,2,2
6,35,592,16,32,2,3,2,2,0.47058824,Q25_50,0,1,2
6,35,259,7,14,2,3,1,2,0.20588235,Q0_25,0,0,2
6,35,872,24,32,2,3,2,2,0.70588235,Q50_75,0,1,2
6,35,491,14,1,2,3,2,1,0.41176471,Q25_50,0,0,1
6,35,265,7,20,2,3,1,2,0.20588235,Q0_25,0,1,2
6,35,53,1,18,2,2,1,2,0.02941176,Q0_25,0,0,2
6,35,266,7,21,2,3,1,2,0.20588235,Q0_25,0,1,2
6,35,1072,30,22,2,4,2,2,0.88235294,Q75_100,0,1,2
6,35,698,19,33,2,3,2,2,0.55882353,Q50_75,0,0,2
6,35,172,4,32,2,3,1,2,0.11764706,Q0_25,0,1,2
6,35,1155,33,0,2,4,2,1,0.97058824,Q75_100,0,0,1
6,35,507,14,17,2,3,2,2,0.41176471,Q25_50,0,0,2
6,35,354,10,4,2,3,2,1,0.29411765,Q25_50,0,0,1
6,35,997,28,17,2,3,2,2,0.82352941,Q75_100,0,0,2
6,35,911,26,1,2,3,2,1,0.76470588,Q75_100,0,0,1
6,35,640,18,10,2,3,2,2,0.52941176,Q50_75,0,0,2
6,35,193,5,18,2,3,1,2,0.14705882,Q0_25,0,0,2
6,35,519,14,29,2,3,2,2,0.41176471,Q25_50,0,1,2
6,35,143,4,3,2,3,1,1,0.11764706,Q0_25,0,0,1
6,35,9,0,9,2,1,1,1,0.0,Q0_25,0,0,1
6,35,204,5,29,2,3,1,2,0.14705882,Q0_25,0,1,2
6,35,988,28,8,2,3,2,1,0.82352941,Q75_100,0,0,1
6,35,110,3,5,2,3,1,1,0.08823529,Q0_25,0,0,1
6,35,190,5,15,2,3,1,2,0.14705882,Q0_25,0,0,2
6,35,853,24,13,2,3,2,2,0.70588235,Q50_75,0,0,2
6,35,1080,30,30,2,4,2,2,0.88235294,Q75_100,0,0,2
6,35,213,6,3,2,3,1,1,0.17647059,Q0_25,0,0,1
6,35,55,1,20,2,2,1,2,0.02941176,Q0_25,0,1,2
6,35,811,23,6,2,3,2,1,0.67647059,Q50_75,0,0,1
6,35,1204,34,14,2,4,2,2,1.0,Q75_100,0,1,2
6,35,224,6,14,2,3,1,2,0.17647059,Q0_25,0,0,2
6,35,8,0,8,2,1,1,1,0.0,Q0_25,0,0,1
6,35,214,6,4,2,3,1,1,0.17647059,Q0_25,0,0,1
6,35,645,18,15,2,3,2,2,0.52941176,Q50_75,0,0,2
6,35,999,28,19,2,3,2,2,0.82352941,Q75_100,0,0,2
6,35,391,11,6,2,3,2,1,0.32352941,Q25_50,0,0,1
6,35,625,17,30,2,3,2,2,0.5,Q50_75,0,0,2
6,35,605,17,10,2,3,2,2,0.5,Q50_75,0,0,2
6,35,688,19,23,2,3,2,2,0.55882353,Q50_75,0,1,2
6,35,370,10,20,2,3,2,2,0.29411765,Q25_50,0,1,2
6,35,678,19,13,2,3,2,2,0.55882353,Q50_75,0,0,2
6,35,664,18,34,2,3,2,2,0.52941176,Q50_75,0,0,2
6,35,1042,29,27,2,4,2,2,0.85294118,Q75_100,0,1,2
6,35,252,7,7,2,3,1,1,0.20588235,Q0_25,0,0,1
6,35,417,11,32,2,3,2,2,0.32352941,Q25_50,0,1,2
6,35,72,2,2,2,2,1,1,0.05882353,Q0_25,1,1,1
6,35,1035,29,20,2,4,2,2,0.85294118,Q75_100,0,1,2
6,35,107,3,2,2,3,1,1,0.08823529,Q0_25,1,1,1
6,35,278,7,33,2,3,1,2,0.20588235,Q0_25,0,0,2
6,35,755,21,20,2,3,2,2,0.61764706,Q50_75,0,1,2
6,35,1022,29,7,2,4,2,1,0.85294118,Q75_100,0,0,1
6,35,0,0,0,2,1,1,1,0.0,Q0_25,0,0,1
6,35,538,15,13,2,3,2,2,0.44117647,Q25_50,0,0,2
6,35,725,20,25,2,3,2,2,0.58823529,Q50_75,0,1,2
6,35,216,6,6,2,3,1,1,0.17647059,Q0_25,0,0,1
6,35,1016,29,1,2,4,2,1,0.85294118,Q75_100,0,0,1
6,35,752,21,17,2,3,2,2,0.61764706,Q50_75,0,0,2
6,35,1138,32,18,2,4,2,2,0.94117647,Q75_100,0,0,2
6,35,135,3,30,2,3,1,2,0.08823529,Q0_25,0,0,2
6,35,518,14,28,2,3,2,2,0.41176471,Q25_50,0,1,2
6,35,1101,31,16,2,4,2,2,0.91176471,Q75_100,0,0,2
6,35,40,1,5,2,2,1,1,0.02941176,Q0_25,0,0,1
6,35,446,12,26,2,3,2,2,0.35294118,Q25_50,0,1,2
6,35,886,25,11,2,3,2,2,0.73529412,Q50_75,0,0,2
6,35,975,27,30,2,3,2,2,0.79411765,Q75_100,0,0,2
6,35,945,27,0,2,3,2,1,0.79411765,Q75_100,0,0,1
6,35,54,1,19,2,2,1,2,0.02941176,Q0_25,0,0,2
6,35,60,1,25,2,2,1,2,0.02941176,Q0_25,0,1,2
6,35,806,23,1,2,3,2,1,0.67647059,Q50_75,0,0,1
6,35,681,19,16,2,3,2,2,0.55882353,Q50_75,0,0,2
6,35,318,9,3,2,3,1,1,0.26470588,Q25_50,0,0,1
6,35,447,12,27,2,3,2,2,0.35294118,Q25_50,0,1,2
6,35,908,25,33,2,3,2,2,0.73529412,Q50_75,0,0,2
6,35,913,26,3,2,3,2,1,0.76470588,Q75_100,0,0,1
6,35,394,11,9,2,3,2,1,0.32352941,Q25_50,0,0,1
6,35,635,18,5,2,3,2,1,0.52941176,Q50_75,0,0,1
6,35,978,27,33,2,3,2,2,0.79411765,Q75_100,0,0,2
6,35,1118,31,33,2,4,2,2,0.91176471,Q75_100,0,0,2
6,35,359,10,9,2,3,2,1,0.29411765,Q25_50,0,0,1
6,35,310,8,30,2,3,1,2,0.23529412,Q0_25,0,0,2
6,35,1036,29,21,2,4,2,2,0.85294118,Q75_100,0,1,2
6,35,660,18,30,2,3,2,2,0.52941176,Q50_75,0,0,2
6,35,343,9,28,2,3,1,2,0.26470588,Q25_50,0,1,2
6,35,961,27,16,2,3,2,2,0.79411765,Q75_100,0,0,2
6,35,489,13,34,2,3,2,2,0.38235294,Q25_50,0,0,2
6,35,41,1,6,2,2,1,1,0.02941176,Q0_25,0,0,1
6,35,188,5,13,2,3,1,2,0.14705882,Q0_25,0,0,2
6,35,834,23,29,2,3,2,2,0.67647059,Q50_75,0,1,2
6,35,530,15,5,2,3,2,1,0.44117647,Q25_50,0,0,1
6,35,881,25,6,2,3,2,1,0.73529412,Q50_75,0,0,1
6,35,430,12,10,2,3,2,2,0.35294118,Q25_50,0,0,2
6,35,712,20,12,2,3,2,2,0.58823529,Q50_75,0,1,2
6,35,862,24,22,2,3,2,2,0.70588235,Q50_75,1,2,2
6,35,1083,30,33,2,4,2,2,0.88235294,Q75_100,0,0,2
6,35,613,17,18,2,3,2,2,0.5,Q50_75,0,0,2
6,35,706,20,6,2,3,2,1,0.58823529,Q50_75,0,0,1
6,35,595,17,0,2,3,2,1,0.5,Q50_75,0,0,1
6,35,864,24,24,2,3,2,2,0.70588235,Q50_75,1,2,2
6,35,161,4,21,2,3,1,2,0.11764706,Q0_25,0,1,2
6,35,785,22,15,2,3,2,2,0.64705882,Q50_75,0,0,2
6,35,1121,32,1,2,4,2,1,0.94117647,Q75_100,0,0,1
6,35,562,16,2,2,3,2,1,0.47058824,Q25_50,1,1,1
6,35,1127,32,7,2,4,2,1,0.94117647,Q75_100,0,0,1
6,35,88,2,18,2,2,1,2,0.05882353,Q0_25,0,0,2
6,35,254,7,9,2,3,1,1,0.20588235,Q0_25,0,0,1
6,35,166,4,26,2,3,1,2,0.11764706,Q0_25,0,1,2
6,35,416,11,31,2,3,2,2,0.32352941,Q25_50,0,0,2
6,35,586,16,26,2,3,2,2,0.47058824,Q25_50,0,1,2
6,35,473,13,18,2,3,2,2,0.38235294,Q25_50,0,0,2
6,35,312,8,32,2,3,1,2,0.23529412,Q0_25,0,1,2
6,35,654,18,24,2,3,2,2,0.52941176,Q50_75,1,2,2
6,35,451,12,31,2,3,2,2,0.35294118,Q25_50,0,0,2
6,35,1031,29,16,2,4,2,2,0.85294118,Q75_100,0,0,2
6,35,10,0,10,2,2,1,2,0.0,Q0_25,0,0,2
6,35,141,4,1,2,3,1,1,0.11764706,Q0_25,0,0,1
6,35,669,19,4,2,3,2,1,0.55882353,Q50_75,0,0,1
6,35,86,2,16,2,2,1,2,0.05882353,Q0_25,0,0,2
6,35,1002,28,22,2,4,2,2,0.82352941,Q75_100,0,1,2
6,35,1187,33,32,2,4,2,2,0.97058824,Q75_100,0,0,2
6,35,36,1,1,2,2,1,1,0.02941176,Q0_25,0,0,1
6,35,604,17,9,2,3,2,1,0.5,Q50_75,0,0,1
6,35,548,15,23,2,3,2,2,0.44117647,Q25_50,0,1,2
6,35,406,11,21,2,3,2,2,0.32352941,Q25_50,0,1,2
6,35,805,23,0,2,3,2,1,0.67647059,Q50_75,0,0,1
6,35,1070,30,20,2,4,2,2,0.88235294,Q75_100,0,1,2
6,35,485,13,30,2,3,2,2,0.38235294,Q25_50,0,0,2
6,35,324,9,9,2,3,1,1,0.26470588,Q25_50,0,0,1
6,35,258,7,13,2,3,1,2,0.20588235,Q0_25,0,0,2
6,35,732,20,32,2,3,2,2,0.58823529,Q50_75,0,1,2
6,35,321,9,6,2,3,1,1,0.26470588,Q25_50,0,0,1
6,35,397,11,12,2,3,2,2,0.32352941,Q25_50,0,1,2
6,35,297,8,17,2,3,1,2,0.23529412,Q0_25,0,0,2
6,35,467,13,12,2,3,2,2,0.38235294,Q25_50,0,1,2
6,35,329,9,14,2,3,1,2,0.26470588,Q25_50,0,0,2
6,35,875,25,0,2,3,2,1,0.73529412,Q50_75,0,0,1
6,35,804,22,34,2,3,2,2,0.64705882,Q50_75,0,1,2
6,35,1110,31,25,2,4,2,2,0.91176471,Q75_100,0,1,2
6,35,736,21,1,2,3,2,1,0.61764706,Q50_75,0,0,1
6,35,230,6,20,2,3,1,2,0.17647059,Q0_25,0,1,2
6,35,74,2,4,2,2,1,1,0.05882353,Q0_25,0,0,1
6,35,38,1,3,2,2,1,1,0.02941176,Q0_25,0,0,1
6,35,281,8,1,2,3,1,1,0.23529412,Q0_25,0,0,1
6,35,380,10,30,2,3,2,2,0.29411765,Q25_50,0,0,2
6,35,369,10,19,2,3,2,2,0.29411765,Q25_50,0,0,2
6,35,245,7,0,2,3,1,1,0.20588235,Q0_25,0,0,1
6,35,66,1,31,2,2,1,2,0.02941176,Q0_25,0,0,2
6,35,342,9,27,2,3,1,2,0.26470588,Q25_50,0,1,2
6,35,145,4,5,2,3,1,1,0.11764706,Q0_25,0,0,1
6,35,933,26,23,2,3,2,2,0.76470588,Q75_100,0,1,2
6,35,299,8,19,2,3,1,2,0.23529412,Q0_25,0,0,2
6,35,734,20,34,2,3,2,2,0.58823529,Q50_75,0,0,2
6,35,1197,34,7,2,4,2,1,1.0,Q75_100,0,0,1
6,35,731,20,31,2,3,2,2,0.58823529,Q50_75,0,0,2
6,35,898,25,23,2,3,2,2,0.73529412,Q50_75,0,1,2
6,35,493,14,3,2,3,2,1,0.41176471,Q25_50,0,0,1
6,35,573,16,13,2,3,2,2,0.47058824,Q25_50,0,0,2
6,35,1041,29,26,2,4,2,2,0.85294118,Q75_100,0,1,2
6,35,217,6,7,2,3,1,1,0.17647059,Q0_25,0,0,1
6,35,904,25,29,2,3,2,2,0.73529412,Q50_75,0,1,2
6,35,724,20,24,2,3,2,2,0.58823529,Q50_75,0,1,2
6,35,743,21,8,2,3,2,1,0.61764706,Q50_75,0,0,1
6,35,79,2,9,2,2,1,1,0.05882353,Q0_25,0,0,1
6,35,793,22,23,2,3,2,2,0.64705882,Q50_75,0,1,2
6,35,957,27,12,2,3,2,2,0.79411765,Q75_100,0,1,2
6,35,195,5,20,2,3,1,2,0.14705882,Q0_25,0,1,2
6,35,392,11,7,2,3,2,1,0.32352941,Q25_50,0,0,1
6,35,295,8,15,2,3,1,2,0.23529412,Q0_25,0,0,2
6,35,211,6,1,2,3,1,1,0.17647059,Q0_25,0,0,1
6,35,873,24,33,2,3,2,2,0.70588235,Q50_75,0,0,2
6,35,977,27,32,2,3,2,2,0.79411765,Q75_100,0,1,2
6,35,683,19,18,2,3,2,2,0.55882353,Q50_75,0,0,2
6,35,367,10,17,2,3,2,2,0.29411765,Q25_50,0,0,2
6,35,222,6,12,2,3,1,2,0.17647059,Q0_25,0,1,2
6,35,221,6,11,2,3,1,2,0.17647059,Q0_25,0,0,2
6,35,1142,32,22,2,4,2,2,0.94117647,Q75_100,0,1,2
6,35,996,28,16,2,3,2,2,0.82352941,Q75_100,0,0,2
6,35,813,23,8,2,3,2,1,0.67647059,Q50_75,0,0,1
